longitude,latitude,revision,SO2,H2CO,PM2.5,TEMP,CFCs,NOx,PRES,warning,CO,Pb,O3,PAHs,C2H3NO5,PM10,NH3,CH4
-76.70944,-11.94306,1349481600000000000,9.3187,67.06773,10.48182,6.64406,67.65873,8.74249,1116.75371,0.0,8.66393,58.55564,7.02897,9.36955,1.28952,6.86463,8.99773,10.31581
-76.70944,-11.94306,1349481600000000000,9.82808,62.63766,5.96235,6.13766,68.06072,6.25434,1084.0736,0.0,8.05915,34.86132,10.31846,9.82826,1.05711,7.09442,8.60013,6.84385
-76.70944,-11.94306,1349481600000000000,10.21332,72.59743,10.09711,26.1416,62.76016,9.21749,1123.10562,0.0,8.05402,52.67786,6.38764,7.64631,0.82745,6.82192,9.50692,10.77657
-76.70944,-11.94306,1349481600000000000,11.06948,42.19244,8.08961,12.26261,83.72481,9.15984,1194.66625,1.0,11.20636,47.45721,9.51726,7.89218,0.81081,6.16463,9.13582,7.99058
-76.70944,-11.94306,1349481600000000000,8.41189,53.69719,8.04356,8.54123,57.83275,7.83278,1063.20695,1.0,9.24888,40.70356,8.99147,8.318872223161453,1.02232,7.01125,8.73412,9.41984
-76.70944,-11.94306,1349481600000000000,11.01497,60.37193,8.17263,4.72449,74.05806,7.97908,1135.34723,1.0,8.44635,77.35667,7.4251,9.31186,1.20153,7.04679,8.89327,5.21402
-76.70944,-11.94306,1349481600000000000,10.40233,39.02776,5.71545,8.51148,68.58018,7.8352,1119.98971,1.0,10.16121,50.05619,8.89602,7.60767,1.07844,7.24784,7.51622,10.54475
-76.70944,-11.94306,1349481600000000000,10.02765,52.06648,6.29205,20.15824,74.62569,8.10401,1118.81957,1.0,6.6808,55.36554,10.73711,7.12694,1.49777,7.83335,6.53592,7.02843
-76.70944,-11.94306,1349481600000000000,9.43224,50.18909,8.38656,6.26759,65.92703,8.63599,1065.37008,0.0,11.0318,26.51174,8.7651,6.74016,1.8994,7.9416,7.78124,6.01815
-76.70944,-11.94306,1349481600000000000,8.96037,38.03348,9.82306,11.27195,77.31153,9.48246,1073.93545,0.0,11.43584,49.55226,8.23542,8.70039,1.8529,7.90726,6.84559,6.91357
-76.70944,-11.94306,1349481600000000000,10.10976,50.1998,9.31628,9.04754,78.21239,7.83543,1180.40327,0.0,7.6351,56.39769,5.58064,8.23879,0.8221,6.5331,8.84675,8.54512
