PM2.5,warning,O3,CH4
8.86606,0.0,7.66254,9.33351
7.41635,1.0,9.03421,7.11474
6.13192,1.0,10.41725,5.74966
5.27767,0.0,9.98422,8.36411
7.4759,0.0,8.70948,7.26194
4.63754,1.0,9.14846,6.32394
10.70117,0.0,8.04696,9.8626
5.55607,1.0,8.56041,10.15971
9.88879,1.0,11.62051,7.43091
8.15621,0.0,10.35101,8.02383
8.60977,0.0,6.47624,8.93066
5.20281,1.0,8.34288,10.16494
7.95556,0.0,9.27954,6.19998
7.78653,1.0,7.98376,7.64169
6.82531,0.0,10.20517,5.77234
10.85924,0.0,6.72224,11.0602
9.1213,0.0,6.59433,9.62528
7.03536,0.0,9.28917,9.97213
7.65915,1.0,9.40832,7.11851
9.29165,1.0,9.50975,10.28362
6.68375,0.0,10.53351,8.07598
7.93668,1.0,8.40392,7.84623
6.04656,1.0,9.01059,7.04879
5.42065,1.0,9.78271,10.46289
6.58778,1.0,10.2156,11.26447
8.83797,1.0,7.18169,5.10941
8.41707,1.0,8.80785,9.30229
6.40783,0.0,11.22523,8.09636
9.47193,0.0,8.61696,9.09409
7.00405,1.0,9.74656,7.50575
9.09521,0.0,8.04518,9.59115
5.47678,1.0,7.72635,11.70949
8.2411,0.0,9.23033,5.54548
5.73277,0.0,8.88343,10.69778
6.52806,1.0,8.99801,5.00279
8.45811,0.0,6.71936,8.31378
7.60857,1.0,9.34384,6.47424
7.71163,1.0,8.37359,7.46753
5.89247,1.0,9.87772,6.81699
6.48426,1.0,9.92291,7.03943
8.47612,1.0,9.88116,7.71613
7.26429,0.0,8.01375,6.89064
7.03645,1.0,7.23145,8.90471
7.91348,1.0,9.05761,7.04938
3.28402,1.0,10.91976,4.26898
7.62946,1.0,10.87029,7.66818
6.8319,1.0,9.26982,9.24078
7.29416,1.0,9.10676,10.14821
5.81495,0.0,8.45553,7.45437
8.55634,0.0,7.67799,7.61181
8.02985,1.0,10.76047,9.28367
5.70797,0.0,11.39259,7.22256
7.90119,1.0,8.27085,4.15929
5.33699,1.0,11.12523,6.14978
5.87759,1.0,7.29702,10.30674
6.18945,1.0,9.72274,9.77738
6.61116,0.0,9.91915,5.97164
7.81189,1.0,9.2982,9.30519
7.8969,1.0,10.7126,9.51506
5.02984,0.0,10.2418,7.34699
10.09433,0.0,6.07604,9.68982
8.13708,1.0,10.30967,9.17453
4.99207,1.0,10.97224,5.96148
8.29846,1.0,10.04595,9.53716
5.64212,1.0,10.03306,5.39505
